listing_id,manufacturer,model,region,image_url,description,condition,state_id,posting_date,mileage,status,price,owner_id,rent_time
7303695233,toyota,prius hb (natl,worcester / central MA,https://images.craigslist.org/00g0g_fLgyxwUjVkiz_0fe0bq_600x450.jpg,"Like cup prevent out. Level benefit ok social involve. Family as catch seek civil easy attention.
Go five not face offer house. Pull allow next watch store partner fly pull.",excellent,ma,2024-04-29 03:15:50,126953,inactive,33.75589838491427,95ced728,30
7313145942,chevrolet,chevelle,charlotte,https://images.craigslist.org/01010_MdSqFT3ZDsz_0CI0t2_600x450.jpg,"It job great describe.
Least able actually. Key arrive conference coach food take fill. Option trouble first war list explain.",excellent,nc,2023-09-30 22:32:23,89022,active,52.42618227753066,78744be6,22
7310650677,toyota,Isuzu NQR,sarasota-bradenton,https://images.craigslist.org/00H0H_6wGcxKdXsf5z_0CI0t2_600x450.jpg,"Operation street image test eye stand by. Chance result might cut water bag edge.
Option be only reduce up. Feeling something affect media.",good,fl,2023-12-01 00:05:28,173047,active,53.89788746443738,44ff316f,12
7304210308,bmw,3 series 330i xdrive sedan,fort wayne,https://images.craigslist.org/00606_2uggXkVbSQ6z_0gw0co_600x450.jpg,Bring more eight morning blue fire. Former increase south. Argue help ahead special policy loss enter pay.,good,in,2024-05-31 12:19:57,18653,active,39.88050554372775,05ddfd6a,16
7302744395,honda,cr-v ex,fort wayne,https://images.craigslist.org/00N0N_kalPdIgLkxiz_0CI0iP_600x450.jpg,Who according available rise create practice. Young kitchen law job everyone tree so.,excellent,in,2023-08-31 19:59:00,64499,active,52.870306657627495,05ddfd6a,13
7312764938,nissan,altima,nashville,https://images.craigslist.org/00404_jUGquzwHuj0z_0gw0gw_600x450.jpg,"Begin trade thing can. Tv say national color group feeling. Chair special its within.
Collection so main life. Training under instead party. Couple painting make her marriage data.",good,tn,2024-03-13 08:37:27,44097,active,8.109768018035481,95ced728,19
7316716986,saturn,sl1,seattle-tacoma,https://images.craigslist.org/00606_9gjdzxNxbxvz_0hr0CI_600x450.jpg,"Cost fear our condition develop main.
Clearly now heart later start director wrong friend. Simply risk bill change. Argue technology turn service news question us. Or test different.",excellent,wa,2023-07-19 21:50:18,184169,active,38.16067559370996,65c435ff,14
7303088478,chevrolet,tahoe,tulsa,https://images.craigslist.org/00p0p_c5m0ntK8jT4z_0gw0co_600x450.jpg,"Note national help central tend produce. Alone true rate now.
Military study third property. Place unit article probably join father avoid general.",good,ok,2023-08-11 17:00:22,107453,active,55.98362854991224,788c22fb,28
7303712582,nissan,altima sv sedan,chico,https://images.craigslist.org/00E0E_e1EJHEGfJEAz_0CI0t2_600x450.jpg,"Ground newspaper week too. Smile herself majority health serve power. Catch forget like bank.
Improve effect live peace big really. Of president law sense big forget however show.",fair,ca,2024-04-28 09:50:49,199895,inactive,42.14934195132898,788c22fb,6
7302916482,gmc,sierra 2500hd,st george,https://images.craigslist.org/00U0U_cti94a34Ixiz_0cU08B_600x450.jpg,"Give expert rather term year ready material. Some everyone him another.
Science light many top authority hold. It fish or experience.",good,ut,2023-09-27 05:56:15,169090,active,11.723501127495725,44ff316f,6
